Summary of Preliminary Estimates for GW Effects,,,
Final distributions,,,
Life years saved/$1M,5th-percentile,Mean,95th percentile
0-5 years,10134.48,13951.36,18242.07
5-10 years,788.24,1085.11,1418.83
10-20 years,281.51,387.54,506.72
20-100 years,56.30,77.51,101.34
100-500 years,0.00,0.00,0.00
500+ years,0.00,0.00,0.00
,,,
YLDs averted/$1M,5th-percentile,Mean,95th percentile
0-5 years,2305.81,3174.23,4150.46
5-10 years,179.34,246.88,322.81
10-20 years,64.05,88.17,115.29
20-100 years,12.81,17.63,23.06
100-500 years,0.00,0.00,0.00
500+ years,0.00,0.00,0.00
,,,
Income Doublings/$1M,5th-percentile,Mean,95th percentile
0-5 years,1963.78,2703.38,3534.80
5-10 years,152.74,210.26,274.93
10-20 years,1363.73,1877.35,2454.72
20-100 years,7429.62,10227.79,13373.32
100-500 years,0.00,0.00,0.00
500+ years,0.00,0.00,0.00